#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <prior id="lambdaPrior.cyanolyca" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.cyanolyca" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.base.inference.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.base.inference.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.cyanolyca" nodetype="snap.NodeData" spec="beast.base.evolution.tree.ClusterTree">
#                <taxa dataType="integerdata" id="snap.cyanolyca" spec="snap.Data">
#                    <taxonset id="cuc_cuc" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="lyc_cuc_cuc_sorted" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cuc_gua" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="lyc_cuc_gua_sorted" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="lyc_pul" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="lyc_pul_sorted" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cuc_hon" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="lyc_cuc_hon_sorted" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cuc_mit" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="lyc_cuc_mit_sorted" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.cyanolyca" name="distribution">
#            <parameter id="u" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.cyanolyca" name="distribution">
#            <parameter id="v" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution">
#        <distribution data="@snap.cyanolyca" id="treeLikelihood.cyanolyca" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.cyanolyca">
#            <siteModel id="MutationSiteModel.cyanolyca" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	TreeHeightLogger
0	-8568.461230199628	-8092.897693350018	-475.5635368496094	1.0	1.0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.35449060059153437
1000	-6744.673164475943	-6273.753988604949	-470.9191758709937	8.347693151177292	0.5318564953017431	0.20409722313652523	0.30762356750687725	0.1852651181040412	0.24138733321704983	0.20072792028539424	0.21729490266207405	0.11144235409375255	0.03207906408458766	0.07457085638959289	0.1704893746696255
2000	-6697.391599092316	-6237.142657901324	-460.2489411909918	11.39266165683682	0.5229512315608451	0.14621807543444906	0.20204459479137016	0.11815698427471266	0.0995867387847133	0.16387807447262728	0.14596573664456958	0.20741015259764048	0.015086016224433691	0.13954506575340375	0.07528644358945298
3000	-6697.920798253515	-6231.505652876585	-466.4151453769298	14.076168572454504	0.5184146210814765	0.16950093289327914	0.15873928286157055	0.09758382515396129	0.10431349778950429	0.0789417802384831	0.15968725258907548	0.20609809504528334	0.008409581957926536	0.08846002843888086	0.07330140889142166
4000	-6687.8246251990295	-6231.223193038422	-456.6014321606069	13.259091721684806	0.5195938712138193	0.11206397964900552	0.12317918369848069	0.08633767848481394	0.1422659161527356	0.10141215043042763	0.12067307746591617	0.2384187515621996	0.017927442260933926	0.0906232001872242	0.06654658870388547
5000	-6686.440464855507	-6232.299433726956	-454.14103112855156	14.224216288504584	0.5182159763985503	0.13729479587410706	0.1606009080301874	0.11609307339992322	0.1047796722868977	0.11398471587321204	0.12886926517599856	0.14324232332176745	0.015242786374410745	0.11602816336998925	0.06700683123893492
6000	-6685.998302581236	-6233.497209848154	-452.501092733082	14.371323918704766	0.5180227930271953	0.12451917105348903	0.1762572152867905	0.10602861530050292	0.13230650589671814	0.1503396497257724	0.11583701005403131	0.15664702020126195	0.020897871830894386	0.14879591940896633	0.06156434428630242
7000	-6683.9990228164925	-6223.735693242643	-460.26332957384926	16.104716092392973	0.516020797720368	0.12456407618171551	0.16643628981293548	0.08153791223114165	0.0959414268003192	0.06488581675201281	0.124682046741728	0.22157036238200062	0.013968858730626373	0.12268850224038592	0.05357570813546263
8000	-6686.5878076641	-6226.597391314886	-459.9904163492137	15.63302145052794	0.5165201642525444	0.10623564764255808	0.09852667186054499	0.08109433007471184	0.10829401742303149	0.07511941731300231	0.09671350142965912	0.22379265493935452	0.013584844230729849	0.1320850821028813	0.058384483528824554
9000	-6691.794260451036	-6236.349832427897	-455.4444280231389	12.754201296401291	0.5204011664206477	0.1528515999158431	0.1504522868419602	0.0940579857917209	0.1521750706471244	0.11064168977763382	0.1581205545833205	0.10163316964227072	0.027359492157971465	0.04280316445771601	0.0897098783293812
10000	-6689.83359183534	-6233.924860461719	-455.9087313736206	14.887511147060351	0.517376181150767	0.10551839250901723	0.08613369794140549	0.0980248625803784	0.10539420930605084	0.20205140685130674	0.1452701490920183	0.17519941475737758	0.01796501093313406	0.12641901626638705	0.06869180673904549
11000	-6682.214567952709	-6230.86152016591	-451.35304778679927	13.41926191959763	0.5193509506623414	0.12055781836880514	0.08252267169586247	0.10048663280929217	0.11181425828176053	0.10469021901335468	0.13114590709134114	0.1888277295976542	0.024418910442757024	0.08101584602911152	0.07652458024044494
12000	-6686.291929309715	-6225.598082025081	-460.6938472846341	13.41926191959763	0.5193509506623414	0.13588737514172008	0.1253050693203681	0.0939140932977614	0.07120629492606295	0.0831291127060389	0.10917919937829744	0.2287260170299093	0.01949996784405514	0.04600977996130965	0.08132386822455603
13000	-6682.813495107434	-6225.176469870752	-457.63702523668223	13.684154597552178	0.5189621562877013	0.13601934402387428	0.1061773407766669	0.09363656141432908	0.08836795685216997	0.09425403060942823	0.09829587505126493	0.26326138807719096	0.01938093341393288	0.08165583151814385	0.06193952782151787
